;phoneId;location;heartRates;gsr;rrInterval;motionType;skinTemperature;mean(GSR);mean(HR);mean(RR);mean(skinTemp);mad(GSR);mad(HR);mad(RR);mad(skinTemp);std(GSR);std(HR);std(RR);std(skinTemp);receptivity
528000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.180055401662;-0.484078656479;0.00375939849624;1.0;0.230769230769;2028.05263158;72.2105263158;0.830473263158;32.08;3.4459833795;1.08033240997;0.0204067811634;0.0;4.36493202455;1.47493681102;0.0315168834628;0.0;-1.0
531000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.00277008310249;-0.469960826901;0.293233082707;1.0;0.230769230769;2037.63157895;70.5263157895;0.897714526316;32.08;10.7313019391;1.86149584488;0.051476565097;0.0;17.5537603642;1.98237851113;0.0654151244789;0.0;-1.0
534000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.219814241486;-0.300446486627;-0.151260504202;1.0;0.230769230769;2152.64705882;68.4117647059;0.794464;32.08;60.6851211073;0.484429065744;0.123090823529;7.1054273576e-15;95.1485294004;0.507299656196;0.14415506784;7.32410687764e-15;-1.0
537000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.130193905817;-0.440328898887;-0.259398496241;1.0;0.230769230769;2057.73684211;69.2631578947;0.769344842105;32.08;12.404432133;0.387811634349;0.203332432133;0.0;16.09638367;0.452413928359;0.217476230648;0.0;-1.0
540000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.157894736842;-0.460574797347;0.398496240602;1.0;0.289068825911;2044.0;69.0;0.922165894737;32.0989473684;6.84210526316;0.0;0.0518442548476;0.0199445983379;8.17176711475;0.0;0.0684811312909;0.0205195670417;-1.0
543000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.157894736842;-0.483664947187;0.198412698413;1.0;0.353846153846;2028.33333333;69.0;0.875688888889;32.12;5.18518518519;0.0;0.0196645925926;0.0;5.96065531336;0.0;0.0224456423883;0.0;-1.0
546000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.157894736842;-0.50292828608;0.285714285714;1.0;0.353846153846;2015.26315789;69.0;0.895968;32.12;7.01385041551;0.0;0.00523957894737;0.0;8.35225921042;0.0;0.00957939566639;0.0;-1.0
549000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.157894736842;-0.50515843773;-0.0178571428571;1.0;0.353846153846;2013.75;69.0;0.825452;32.12;13.575;0.0;0.0970632;0.0;16.8049961243;0.0;0.114936991332;0.0;-1.0
552000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.157894736842;-0.507573896667;0.365079365079;1.0;0.353846153846;2012.11111111;69.0;0.914403555556;32.12;5.55555555556;0.0;0.180258765432;0.0;7.10334543295;0.0;0.20901495687;0.0;-1.0
555000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.00831024930748;-0.50897878447;0.165413533835;1.0;0.353846153846;2011.15789474;70.5789473684;0.868023578947;32.12;9.20221606648;1.49584487535;0.046972365651;0.0;10.291653349;1.53896752813;0.0553212191381;0.0;-1.0
558000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.134502923977;-0.433800049128;0.0714285714286;1.0;0.353846153846;2062.16666667;71.7777777778;0.846192;32.12;38.9259259259;0.345679012346;0.0184355555556;0.0;43.0557094663;0.427792631946;0.0197142336397;0.0;-1.0
561000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.0526315789474;-0.410791779252;0.0952380952381;1.0;0.353846153846;2077.77777778;71.0;0.851722666667;32.12;38.8148148148;0.0;0.0184355555556;0.0;48.8738538973;0.0;0.0212938060478;0.0;-1.0
564000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490932594, u'long': 11.5759034607};0.0526315789474;-0.552100221076;-0.0785714285714;1.0;0.353846153846;1981.9;71.0;0.8113488;32.12;14.98;0.0;0.03368176;0.0;17.0537848863;0.0;0.0391529754809;0.0;-1.0
567000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490932594, u'long': 11.5759034607};0.473684210526;-0.955862389947;-0.293233082707;1.0;0.353846153846;1707.94736842;75.0;0.761485473684;32.12;11.7451523546;0.0;0.0231644542936;0.0;14.4201775463;0.0;0.031234675324;0.0;-1.0
570000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490932594, u'long': 11.5759034607};0.473684210526;-0.761753868828;0.075;1.0;0.150769230769;1839.65;75.0;0.8470216;32.054;21.845;0.0;0.0493612;0.1122;27.9929972446;0.0;0.0595745348975;0.161192921354;-1.0
573000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490932594, u'long': 11.5759034607};0.473684210526;-0.733235077377;-0.365079365079;1.0;-1.0;1859.0;75.0;0.744796444444;31.68;17.7777777778;0.0;0.0528485925926;0.0;20.3989619113;0.0;0.0588376823775;0.0;-1.0
576000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490932594, u'long': 11.5759034607};0.473684210526;-0.755808090602;-0.0789473684211;1.0;-1.0;1843.68421053;75.0;0.811261473684;31.68;6.82548476454;0.0;0.0395266481994;3.5527136788e-15;9.00032488043;0.0;0.0465676671085;3.65006632502e-15;-1.0
579000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490932594, u'long': 11.5759034607};0.473684210526;-0.712857646343;0.027950310559;1.0;-1.0;1872.82608696;75.0;0.836092521739;31.68;32.5860113422;0.0;0.0434089376181;1.06581410364e-14;36.0827989414;0.0;0.0595589837059;1.08976797324e-14;-1.0
